school,lat ,long,grade 17,growth17,link,link2,img
112 - IB at Statesville Road,35.296383,-80.844973,C,Not Met,http://schools.cms.k12.nc.us/statesvilleroadES/Pages/Default.aspx,https://ncreportcards.ondemand.sas.com/src/school?school=600546&year=2017&lang=undefined,112grades
125 - IB at Legette Blythe,35.377201,-80.835014,C,Met,http://schools.cms.k12.nc.us/blytheES/Pages/Default.aspx,https://ncreportcards.ondemand.sas.com/src/school?school=600442&year=2017&lang=undefined,125grades
126 - IB at Marie G. Davis,35.202022,-80.875596,Not Avail.,Not Avail.,http://schools.cms.k12.nc.us/mariegdavisES/Pages/AboutOurSchool.aspx,,126grades
170 - LI/TD at Mallard Creek,35.335395,-80.7733,C,Not Met,http://schools.cms.k12.nc.us/mallardcreekES/Pages/Default.aspx,https://ncreportcards.ondemand.sas.com/src/school?school=600446&year=2017&lang=english,170grades
173 - LI/TD at Tuckaseegee,35.250176,-80.941246,D,Not Met,http://schools.cms.k12.nc.us/tuckaseegeeES/Pages/Default.aspx,,173grades
174 - LI/TD at Irwin Academic Center,35.237366,-80.850685,B,Met,http://schools.cms.k12.nc.us/irwinacademiccenterES/Pages/Default.aspx,https://ncreportcards.ondemand.sas.com/src/school?school=600571&year=2017&lang=english,174grades
198 - Paw Creek Computer Science,35.291294,-80.945821,C,Met,http://schools.cms.k12.nc.us/pawcreekES/Pages/Default.aspx,https://ncreportcards.ondemand.sas.com/src/school?school=600494&year=2017&lang=english,198grades
199 - Governors Villge STEM Academy,35.297393,-80.776715,B,Met,http://schools.cms.k12.nc.us/johnmotleymoreheadMS/Pages/Default.aspx,https://ncreportcards.ondemand.sas.com/src/school?school=600429&year=2017&lang=english,199grades
230 - Elizabeth Traditional,35.215357,-80.824854,C,Not Met,http://schools.cms.k12.nc.us/elizabethES/Pages/Default.aspx,https://ncreportcards.ondemand.sas.com/src/school?school=600384&year=2017&lang=english,230grades
239 - Long Creek Creative Arts,35.349069,-80.890531,C,Met,http://schools.cms.k12.nc.us/longcreekES/Pages/Default.aspx,https://ncreportcards.ondemand.sas.com/src/school?school=600444&year=2017&lang=english,239grades
241 - University Park Creative Arts,35.260711,-80.857843,C,Met,http://schools.cms.k12.nc.us/universityparkES/Pages/default.aspx,https://ncreportcards.ondemand.sas.com/src/school?school=600565&year=2017&lang=english,241grades
265 - Dorothy J. Vaughan Academy of Technology,35.285082,-80.733781,Not Avail.,Not Avail.,http://schools.cms.k12.nc.us/dorothyjvaughanES/Pages/Default.aspx,,265grades
276 - Bruns Environmental STEM,35.239327,-80.864771,F,Met,http://schools.cms.k12.nc.us/brunsacademyES/Pages/Default.aspx,https://ncreportcards.ondemand.sas.com/src/school?school=600489&year=2017&lang=english,276grades
